num_players,num_rounds,round_index,pairs
16,12,11,"(0,11);(1,6);(2,9);(3,10);(4,5);(7,8);(12,13);(14,15)"
16,13,0,"(0,2);(1,6);(3,15);(4,10);(5,14);(7,11);(8,13);(9,12)"
16,13,1,"(0,8);(1,14);(2,5);(3,10);(4,12);(6,13);(7,9);(11,15)"
16,13,2,"(0,7);(1,12);(2,4);(3,5);(6,14);(8,15);(9,13);(10,11)"
16,13,3,"(0,6);(1,13);(2,15);(3,12);(4,14);(5,10);(7,8);(9,11)"
16,13,4,"(0,5);(1,2);(3,6);(4,11);(7,15);(8,9);(10,13);(12,14)"
16,13,5,"(0,15);(1,5);(2,14);(3,9);(4,13);(6,8);(7,10);(11,12)"
16,13,6,"(0,10);(1,15);(2,12);(3,7);(4,8);(5,13);(6,11);(9,14)"
16,13,7,"(0,9);(1,10);(2,11);(3,14);(4,15);(5,8);(6,12);(7,13)"
16,13,8,"(0,11);(1,9);(2,6);(3,13);(4,7);(5,12);(8,14);(10,15)"
16,13,9,"(0,14);(1,3);(2,7);(4,5);(6,15);(8,12);(9,10);(11,13)"
16,13,10,"(0,12);(1,7);(2,13);(3,4);(5,15);(6,9);(8,11);(10,14)"
16,13,11,"(0,13);(1,11);(2,10);(3,8);(4,6);(5,9);(7,14);(12,15)"
16,13,12,"(0,1);(2,3);(4,9);(5,11);(6,7);(8,10);(12,13);(14,15)"
16,14,0,"(0,1);(2,7);(3,10);(4,11);(5,14);(6,8);(9,12);(13,15)"
16,14,1,"(0,3);(1,10);(2,13);(4,14);(5,15);(6,7);(8,12);(9,11)"
16,14,2,"(0,15);(1,6);(2,14);(3,12);(4,10);(5,9);(7,8);(11,13)"
16,14,3,"(0,10);(1,4);(2,5);(3,14);(6,12);(7,15);(8,11);(9,13)"
16,14,4,"(0,5);(1,14);(2,3);(4,13);(6,9);(7,12);(8,15);(10,11)"
16,14,5,"(0,6);(1,3);(2,15);(4,9);(5,8);(7,10);(11,14);(12,13)"
16,14,6,"(0,7);(1,2);(3,9);(4,6);(5,12);(8,14);(10,13);(11,15)"
16,14,7,"(0,8);(1,12);(2,11);(3,4);(5,10);(6,13);(7,9);(14,15)"
16,14,8,"(0,9);(1,5);(2,6);(3,11);(4,8);(7,13);(10,15);(12,14)"
16,14,9,"(0,11);(1,13);(2,4);(3,8);(5,7);(6,14);(9,15);(10,12)"
16,14,10,"(0,13);(1,15);(2,12);(3,6);(4,7);(5,11);(8,9);(10,14)"
16,14,11,"(0,12);(1,7);(2,8);(3,5);(4,15);(6,11);(9,10);(13,14)"
